sample_id,duration_seconds,n_words,n_flagged,n_fallback,alignment_health,words_per_second,speech_density,mean_word_seconds,n_short_pauses_gt_300ms,arousal_proxy_mean,arousal_proxy_std,voiced_fraction,pitch_range_hz,residual_mean_seconds,residual_p95_seconds,residual_max_seconds
-HeZS2-Prhc__2,8.262,16,4,0,medium,4.2553,0.4551,0.235,4,0.5501,1.9545,0.7857,192.82,0.235,0.54,0.78
-HwX2H8Z4hY__2,3.982,7,4,0,medium,5.2239,0.3365,0.1914,1,-0.5051,0.8393,0.95,238.88,0.1914,0.354,0.36
-HwX2H8Z4hY__5,5.653,9,1,0,high,2.6471,0.6015,0.3778,0,0.3305,1.0273,0.8966,322.9,0.3778,0.656,0.68
-HwX2H8Z4hY__6,3.358,7,1,0,high,5.3846,0.3871,0.1857,1,-0.361,0.9378,0.9412,222.28,0.1857,0.37,0.4
-HwX2H8Z4hY__9,7.734,22,8,0,medium,5.2133,0.5456,0.1918,1,0.2995,0.639,1.0,296.39,0.1918,0.642,0.76
-I_e4mIh0yE__1,7.622,18,2,0,high,5.0847,0.4644,0.1967,2,0.4978,1.0812,0.6154,106.73,0.1967,0.389,0.44
-I_e4mIh0yE__3,9.163,22,5,0,medium,5.0228,0.478,0.1991,2,0.3388,1.292,0.5435,150.67,0.1991,0.415,0.52
-MeTTeMJBNc__0,9.3,21,2,0,high,4.251,0.5312,0.2352,1,1.3372,1.455,0.6809,209.23,0.2352,0.44,0.74
-MeTTeMJBNc__13,5.43,14,3,0,medium,5.5556,0.4641,0.18,2,0.894,2.1044,0.5714,298.77,0.18,0.423,0.54
-MeTTeMJBNc__7,10.517,31,10,0,medium,5.3448,0.5515,0.1871,3,0.8729,1.2061,0.7736,140.23,0.1871,0.42,0.44
-NFrJFQijFE__1,5.746,16,16,0,low,4.2781,0.6509,0.2337,1,-0.203,0.2435,1.0,233.15,0.2337,0.615,1.5
-NFrJFQijFE__2,6.856,18,17,0,low,4.2453,0.6184,0.2356,2,0.6808,1.4763,0.8571,270.88,0.2356,0.817,1.14
-RfYyzHpjk4__11,5.239,17,1,0,high,6.8,0.4772,0.1471,1,-0.8074,0.7847,0.7778,153.05,0.1471,0.256,0.32
-RfYyzHpjk4__2,5.516,25,11,0,low,8.1699,0.5547,0.1224,1,-0.5909,0.883,0.8571,204.78,0.1224,0.308,0.34
-RfYyzHpjk4__8,4.589,17,2,0,high,7.265,0.5099,0.1376,0,-1.0525,0.8304,0.7826,252.28,0.1376,0.244,0.26
-THoVjtIkeU__12,14.896,39,9,0,medium,4.4218,0.5921,0.2262,5,0.2527,1.0674,0.68,196.4,0.2262,0.468,1.76
-THoVjtIkeU__2,4.292,10,2,0,high,4.5455,0.5126,0.22,1,1.119,2.2907,0.6818,327.67,0.22,0.38,0.38
-THoVjtIkeU__6,8.097,30,8,0,medium,6.8807,0.5385,0.1453,2,0.969,1.6032,0.7317,120.76,0.1453,0.311,0.4
-UUCSKoHeMA__0,7.8,18,4,0,medium,4.9451,0.4667,0.2022,1,-0.4169,1.5774,0.8718,195.62,0.2022,0.491,0.78
-UacrmKiTn4__10,7.362,18,2,0,high,5.0847,0.4808,0.1967,2,-0.2266,0.7843,0.8108,220.56,0.1967,0.575,0.66
-UacrmKiTn4__4,4.741,14,0,0,high,5.303,0.5568,0.1886,0,0.1625,0.5946,0.75,100.57,0.1886,0.534,0.56
-UuX1xuaiiE__0,3.6333,9,1,0,high,3.913,0.633,0.2556,0,0.2088,0.5144,0.9474,118.64,0.2556,0.588,0.7
-UuX1xuaiiE__1,10.35,27,4,0,medium,5.3785,0.485,0.1859,4,0.157,0.6215,0.9423,174.58,0.1859,0.398,0.58
-UuX1xuaiiE__3,4.13,9,2,0,high,5.2326,0.4165,0.1911,1,0.2753,0.6856,0.9524,151.75,0.1911,0.368,0.4
-UuX1xuaiiE__6,8.114,22,6,0,medium,5.1643,0.525,0.1936,1,0.2134,0.8479,0.8293,84.13,0.1936,0.439,0.6
-a55Q6RWvTA__3,22.154,65,14,0,medium,5.2589,0.5579,0.1902,4,0.7032,1.0113,0.9009,106.01,0.1902,0.48,0.78
-aNfi7CP8vM__7,8.695,18,1,0,high,3.6145,0.5727,0.2767,2,0.0314,0.8404,0.7955,155.55,0.2767,0.672,0.74
-aqamKhZ1Ec__0,10.9667,14,5,0,medium,1.8667,0.6839,0.5357,2,0.2517,1.4341,0.6727,143.26,0.5357,2.173,2.42
-dxfTGcXJoc__0,20.5,40,4,0,medium,3.1746,0.6146,0.315,6,0.4524,1.4034,0.699,190.59,0.315,0.923,1.06
-dxfTGcXJoc__1,16.161,36,3,0,medium,3.871,0.5755,0.2583,5,1.1611,1.2403,0.6914,225.23,0.2583,0.55,0.72
-dxfTGcXJoc__2,16.698,34,2,0,high,3.1481,0.6468,0.3176,3,1.3694,1.4778,0.7381,188.61,0.3176,0.675,0.82
-dxfTGcXJoc__6,12.735,28,1,0,high,3.4568,0.636,0.2893,2,0.8419,1.4107,0.7188,165.22,0.2893,0.664,0.8
-egA8-b7-3M__1,10.266,20,4,0,medium,3.4965,0.5572,0.286,3,1.1747,1.7218,0.7692,224.88,0.286,0.622,1.04
-egA8-b7-3M__13,4.184,11,2,0,high,5.4455,0.4828,0.1836,1,0.3465,0.94,0.5714,147.57,0.1836,0.38,0.38
-egA8-b7-3M__16,5.538,11,1,0,high,3.2738,0.6067,0.3055,0,0.7908,1.6854,0.7143,211.72,0.3055,0.5,0.5
-egA8-b7-3M__17,7.271,16,4,0,medium,4.8193,0.4566,0.2075,2,0.6398,1.2926,0.5946,163.55,0.2075,0.56,0.62
-egA8-b7-3M__18,8.386,22,3,0,medium,4.9107,0.5342,0.2036,2,0.6183,1.3517,0.7381,165.47,0.2036,0.419,0.62
-egA8-b7-3M__20,6.645,20,4,0,medium,5.848,0.5147,0.171,1,0.2541,1.2554,0.7059,169.28,0.171,0.361,0.38
-egA8-b7-3M__26,6.031,15,3,0,medium,4.902,0.5074,0.204,1,0.0679,0.54,0.7097,152.39,0.204,0.466,0.48
-egA8-b7-3M__6,6.265,12,1,0,high,3.4091,0.5619,0.2933,0,0.4257,0.7852,0.75,189.08,0.2933,0.565,0.62
-egA8-b7-3M__9,5.09,10,1,0,high,3.5971,0.5462,0.278,0,0.3219,0.6731,0.6923,154.46,0.278,0.48,0.48
-hnBHBN8p5A__6,6.401,13,12,0,low,4.9242,0.4124,0.2031,3,0.5464,1.2454,0.7576,311.61,0.2031,0.396,0.42
-hnBHBN8p5A__7,7.372,13,11,0,low,3.6313,0.4856,0.2754,3,1.5418,1.3361,0.5676,171.52,0.2754,0.596,0.68
-iRBcNs9oI8__3,5.621,8,5,0,medium,4.5977,0.3096,0.2175,3,1.1809,1.5704,0.7241,249.83,0.2175,0.47,0.54
-iRBcNs9oI8__6,2.903,5,4,0,medium,6.0976,0.2825,0.164,3,0.6172,1.3341,0.9333,133.84,0.164,0.384,0.42
-iRBcNs9oI8__7,4.104,9,7,0,low,3.4091,0.6433,0.2933,1,0.679,1.4024,0.8571,162.68,0.2933,0.836,1.14
-iRBcNs9oI8__8,8.093,21,19,0,low,5.4404,0.477,0.1838,3,1.3328,1.4913,0.8293,228.23,0.1838,0.38,0.78
-iRBcNs9oI8__9,3.416,5,4,0,medium,4.5455,0.322,0.22,2,1.399,1.9477,0.6667,181.37,0.22,0.344,0.36
-lzEya4AM_4__5,7.675,19,7,0,medium,5.163,0.4795,0.1937,2,0.0807,1.9928,0.7692,148.49,0.1937,0.56,0.56
-lzEya4AM_4__6,14.792,43,11,0,medium,5.5412,0.5246,0.1805,7,0.2577,1.4108,0.7432,137.82,0.1805,0.38,0.48
-mJ2ud6oKI8__1,6.103,13,13,0,low,2.2569,0.9438,0.4431,0,0.0,0.0,0.0,0.0,0.4431,2.008,4.6
-mJ2ud6oKI8__2,5.731,11,11,0,low,2.037,0.9422,0.4909,0,0.0,0.0,0.0,0.0,0.4909,2.06,2.84
-mJ2ud6oKI8__6,2.257,5,4,0,medium,3.5714,0.6203,0.28,1,0.2419,0.4829,0.9167,112.75,0.28,0.676,0.8
-mJ2ud6oKI8__8,4.192,11,8,0,low,4.6218,0.5677,0.2164,0,0.2558,0.878,0.9048,123.52,0.2164,0.37,0.38
-mJ2ud6oKI8__9,7.033,22,18,0,low,6.3584,0.492,0.1573,1,0.5929,0.6743,0.8056,120.68,0.1573,0.356,0.4
-mqbVkbCndg__0,6.4667,14,4,0,medium,4.8276,0.4485,0.2071,3,0.4475,1.1901,0.8182,130.5,0.2071,0.448,0.5
-qDkUB0GgYY__6,4.678,16,8,0,low,7.1429,0.4788,0.14,1,1.079,1.5094,0.9167,187.58,0.14,0.245,0.26
-ri04Z7vwnc__0,2.807,8,8,0,low,3.7736,0.7553,0.265,0,1.1404,0.2444,0.9333,173.77,0.265,0.724,0.92
-ri04Z7vwnc__2,6.027,16,16,0,low,3.6866,0.7201,0.2712,0,0.9101,0.8761,0.9677,271.43,0.2712,0.57,0.6
-ri04Z7vwnc__5,3.545,8,7,0,low,4.5455,0.4965,0.22,1,-0.0707,0.3456,1.0,202.19,0.22,0.446,0.46
-s9qJ7ATP7w__0,6.8,24,8,0,medium,7.4074,0.4765,0.135,3,0.5185,0.8871,0.7941,90.86,0.135,0.26,0.42
-s9qJ7ATP7w__1,4.792,11,2,0,high,5.0,0.4591,0.2,2,0.3341,0.7894,0.75,159.61,0.2,0.58,0.86
-s9qJ7ATP7w__4,4.427,9,4,0,medium,5.0562,0.4021,0.1978,2,0.7269,0.8736,0.6087,140.23,0.1978,0.424,0.44
-s9qJ7ATP7w__5,8.561,19,1,0,high,5.8642,0.3785,0.1705,5,0.3974,0.7958,0.8605,111.01,0.1705,0.368,0.44
-s9qJ7ATP7w__6,2.475,5,1,0,high,7.5758,0.2667,0.132,1,0.0252,0.9708,0.6154,51.05,0.132,0.196,0.2
-s9qJ7ATP7w__7,6.966,28,10,0,medium,7.0352,0.5713,0.1421,1,0.5191,1.0972,0.7714,91.06,0.1421,0.293,0.68
-s9qJ7ATP7w__8,3.295,12,4,0,medium,8.3333,0.437,0.12,0,0.9384,0.9009,0.6471,107.94,0.12,0.297,0.44
-t217m2on-s__2,5.686,12,2,0,high,5.2632,0.401,0.19,2,-0.1427,1.2794,0.7241,160.43,0.19,0.503,0.58
-t217m2on-s__7,17.183,45,10,0,medium,5.1724,0.5063,0.1933,5,0.0809,1.6609,0.6744,136.97,0.1933,0.5,0.72
-tANM6ETl_M__3,6.758,22,8,0,medium,5.7895,0.5623,0.1727,0,0.5381,1.3028,0.8529,144.06,0.1727,0.379,0.52
-tPCytz4rww__10,4.789,12,2,0,high,5.4054,0.4636,0.185,1,0.9469,1.2041,0.75,276.11,0.185,0.349,0.36
-tPCytz4rww__11,5.467,17,0,0,high,4.7753,0.6512,0.2094,1,0.511,0.961,0.75,84.64,0.2094,0.428,0.62
-tPCytz4rww__12,11.864,26,5,0,medium,4.7445,0.4619,0.2108,5,0.3407,0.9378,0.7833,182.14,0.2108,0.46,0.5
-tPCytz4rww__16,7.206,16,4,0,medium,6.1538,0.3608,0.1625,2,0.2205,1.0414,0.7838,181.02,0.1625,0.385,0.46
-tPCytz4rww__18,6.645,16,0,0,high,5.1282,0.4695,0.195,3,0.7152,1.3202,0.7353,83.29,0.195,0.385,0.64
-uywlfIYOS8__4,6.045,18,3,0,medium,5.2941,0.5624,0.1889,1,0.1271,0.7317,0.8387,196.71,0.1889,0.436,0.64
-vxjVxOeScU__4,9.127,21,5,0,medium,4.3933,0.5237,0.2276,4,1.4896,1.2996,0.8913,218.59,0.2276,0.5,0.52
-wMB_hJL-3o__7,6.044,22,5,0,medium,6.875,0.5294,0.1455,1,-0.2844,1.1041,0.6774,104.27,0.1455,0.334,0.6
-wny0OAz3g8__0,3.3333,9,0,0,high,4.9451,0.546,0.2022,0,1.535,0.6037,0.8235,220.09,0.2022,0.276,0.3
-wny0OAz3g8__1,6.844,22,0,0,high,5.1887,0.6195,0.1927,0,1.5327,0.7265,0.9429,251.92,0.1927,0.318,0.6
-wny0OAz3g8__2,6.687,23,4,0,medium,5.6931,0.6042,0.1757,1,1.4637,0.7624,0.8824,222.68,0.1757,0.376,0.4
-wny0OAz3g8__3,6.146,20,0,0,high,5.4945,0.5923,0.182,0,1.4706,0.9258,1.0,192.56,0.182,0.343,0.4
-wny0OAz3g8__5,6.912,20,2,0,high,4.6948,0.6163,0.213,1,2.0161,1.3782,0.9143,246.81,0.213,0.465,0.56
-wny0OAz3g8__7,8.068,29,4,0,medium,4.9828,0.7214,0.2007,0,1.3455,0.6126,0.878,248.52,0.2007,0.488,0.64
-wny0OAz3g8__9,6.213,20,4,0,medium,4.6729,0.6889,0.214,0,1.393,0.8032,0.9375,256.76,0.214,0.465,0.56
-yRb-Jum7EQ__1,29.288,49,42,0,low,2.9063,0.5757,0.3441,11,-1.3767,0.8283,0.585,175.15,0.3441,1.076,1.46
-yRb-Jum7EQ__5,13.169,25,21,0,low,3.2723,0.5801,0.3056,4,-0.9197,0.8126,0.6818,97.37,0.3056,0.784,0.84
-yRb-Jum7EQ__6,11.242,19,18,0,low,3.125,0.5408,0.32,3,-1.0103,1.2506,0.5965,98.45,0.32,0.708,1.86
